COMPONENTES QUE SERÃO VENDIDOS NO SITE E NO MERCADO LIVRE:,,,
,,,
Item,Descrição do Produto,Qtd,
1,Kit Hotend Completo Para Bambu Lab A1 Mini/NORMAL,50,https://www.alibaba.com/product-detail/Bambu-Lab-A1-Mini-Hotend-Kit_1601155184173.html?spm=a2700.shop_plgr.41413.16.146f7121C9JTvl
2,Capa De Silicone (Meia) Para Bambu Lab A1 Mini/NORMAL,50,https://www.alibaba.com/product-detail/A1-Silicone-Sock-Covers-300C-High_1601023863763.html?spm=a2700.shop_plgr.41413.59.146f7121C9JTvl
3,Bico Nozzle Aço Endurecido Para Bambu Lab A1 Mini/NORMAL,50,https://www.alibaba.com/product-detail/Hardened-Steel-Nozzles-for-Bambu-Lab_1601254442945.html?spm=a2700.shop_plgr.41413.124.146f7121C9JTvl
4,Limpador De Bico (Nozzle Wiper) Para Bambu Lab A1,50,https://www.alibaba.com/product-detail/3D-Printer-Parts-Nozzle-Wiper-for_1601223384586.html?spm=a2700.shop_plgr.41413.121.146f7121C9JTvl
5,Kit Termistor Para Bambu Lab A1 / A1 Mini,10,https://www.alibaba.com/product-detail/3D-Printer-Heater-Cartridge-and-NTC_1601279813881.html?spm=a2700.shop_plgr.41413.142.146f7121C9JTvl
8,Mesa PEI Texturizada Dupla Face Para Bambu Lab H2D (350x320mm),10,https://www.alibaba.com/product-detail/355-X346mm-Build-Plate-for-Bambu_1601612107806.html?spm=a2700.shop_plser.41413.8.1f19c899U9A1gf
11,Kit Aquecedor Cerâmico 60W 360° E Termistor,100,https://www.alibaba.com/product-detail/Ceramic-Heater-Thermistor-Kit-60W-360_1601161678770.html?spm=a2700.shop_plgr.41413.8.663b71219K7Cgn
13,Kit Hotend Completo Para Creality CR-10,50,https://www.alibaba.com/product-detail/3D-Full-Metal-J-Head-CR10_1600663425800.html?spm=a2700.shop_plser.41413.20.5bc8234etuVzmm
14,Termistor NTC 100K 1% 3950 (Resistente Até 200°C),100,https://www.alibaba.com/product-detail/Thermistor-Upgrade-HT-NTC100K-Thermistor-3D_1601287310814.html?spm=a2700.shop_plser.41413.26.6c355057LcVN09
,,,
,,,
,,,
,,,
,,,
